codigo,nombre,tipo,capitulo,grupo,subgrupo,categoria,codigo_jerarquico,sexo_aplicable,quirurgico,habilitado,actualizado_en
011101,BIOPSIA ÓSEA EN CRÁNEO POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIA EN CRÁNEO,01.1.1.01,Z,true,true,2026-04-29 12:54:39
011102,BIOPSIA ÓSEA EN CRÁNEO POR CRANIECTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIA EN CRÁNEO,01.1.1.02,Z,true,true,2026-04-29 12:54:39
011103,BIOPSIA DE CRÁNEO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIA EN CRÁNEO,01.1.1.03,Z,true,true,2026-04-29 12:54:39
011201,BIOPSIA DE MENINGE- POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIAS DE MENINGE CEREBRAL,01.1.2.01,Z,true,true,2026-04-29 12:54:39
011202,BIOPSIA DE MENINGE CEREBRAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIAS DE MENINGE CEREBRAL,01.1.2.02,Z,true,true,2026-04-29 12:54:39
011301,BIOPSIA CERRADA (PERCUTÁNEA) (AGUJA) DE CEREBRO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIAS DE CEREBRO,01.1.3.01,Z,true,true,2026-04-29 12:54:39
011302,BIOPSIA ABIERTA (CRANEOTOMÍA) DE CEREBRO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIAS DE CEREBRO,01.1.3.02,Z,true,true,2026-04-29 12:54:39
011303,BIOPSIA DE CEREBRO POR TREPANACIÓN,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIAS DE CEREBRO,01.1.3.03,Z,true,true,2026-04-29 12:54:39
011306,BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIAS DE CEREBRO,01.1.3.06,Z,true,true,2026-04-29 12:54:39
011307,BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES","PROCEDIMIENTOS DIAGNÓSTICOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",BIOPSIAS DE CEREBRO,01.1.3.07,Z,true,true,2026-04-29 12:54:39
012101,CRANEALIZACIÓN DE SENO FRONTAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,INCISIÓN O DRENAJE O DESFUNCIONALIZACIÓN DE SENO FRONTAL,01.2.1.01,Z,true,true,2026-04-29 12:54:39
012102,INCISIÓN Y DRENAJE DE SENO FRONTAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,INCISIÓN O DRENAJE O DESFUNCIONALIZACIÓN DE SENO FRONTAL,01.2.1.02,Z,true,true,2026-04-29 12:54:39
012103,DESFUNCIONALIZACIÓN DE SENO FRONTAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,INCISIÓN O DRENAJE O DESFUNCIONALIZACIÓN DE SENO FRONTAL,01.2.1.03,Z,true,true,2026-04-29 12:54:39
012201,RETIRO O SUSTITUCIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.01,Z,true,true,2026-04-29 12:54:39
012202,RETIRO O SUSTITUCIÓN DE ELECTRODO EPIDURAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.02,Z,true,true,2026-04-29 12:54:39
012203,RETIRO O SUSTITUCIÓN DE ELECTRODO SUBDURAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.03,Z,true,true,2026-04-29 12:54:39
012204,RETIRO O SUSTITUCIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.04,Z,true,true,2026-04-29 12:54:39
012205,RETIRO O SUSTITUCIÓN DE NEUROESTIMULADOR INTRACRANEAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.05,Z,true,true,2026-04-29 12:54:39
012206,REVISIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.06,Z,true,true,2026-04-29 12:54:39
012207,REVISIÓN DE ELECTRODO EPIDURAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.07,Z,true,true,2026-04-29 12:54:39
012208,REVISIÓN DE ELECTRODO SUBDURAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.08,Z,true,true,2026-04-29 12:54:39
012209,REVISIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.09,Z,true,true,2026-04-29 12:54:39
012210,REVISIÓN DE NEUROESTIMULADOR,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,"RETIRO, SUSTITUCIÓN O REVISIÓN DE NEUROESTIMULADOR O ELECTRODO INTRACRANEAL",01.2.2.10,Z,true,true,2026-04-29 12:54:39
012301,REAPERTURA DE CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,REAPERTURA DE CRANEOTOMÍAS,01.2.3.01,Z,true,true,2026-04-29 12:54:39
012401,DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL- POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS),01.2.4.01,Z,true,true,2026-04-29 12:54:39
012402,DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR- POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS),01.2.4.02,Z,true,true,2026-04-29 12:54:39
012403,CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA),CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS),01.2.4.03,Z,true,true,2026-04-29 12:54:39
012410,EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL- POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANEOTOMÍAS (DESCOMPRESIVAS O EXPLORATORIAS),01.2.4.10,Z,true,true,2026-04-29 12:54:39
012501,SECUESTRECTOMÍA DE CRÁNEO- POR CRANIECTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANIECTOMÍAS,01.2.5.01,Z,true,true,2026-04-29 12:54:39
012502,DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL- POR CRANIECTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANIECTOMÍAS,01.2.5.02,Z,true,true,2026-04-29 12:54:39
012503,DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR- POR CRANIECTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANIECTOMÍAS,01.2.5.03,Z,true,true,2026-04-29 12:54:39
012505,CRANIECTOMÍA DESCOMPRESIVA BIFRONTAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANIECTOMÍAS,01.2.5.05,Z,true,true,2026-04-29 12:54:39
012506,CRANIECTOMÍA DESCOMPRESIVA HEMISFÉRICA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANIECTOMÍAS,01.2.5.06,Z,true,true,2026-04-29 12:54:39
012507,CRANIECTOMÍA DESCOMPRESIVA EN FOSA POSTERIOR,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",CRANEOTOMÍA Y CRANIECTOMÍA,OTRAS CRANIECTOMÍAS,01.2.5.07,Z,true,true,2026-04-29 12:54:39
013101,DRENAJE DE ESPACIO SUBDURAL- POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.01,Z,true,true,2026-04-29 12:54:39
013102,DRENAJE DE ESPACIO SUBDURAL- POR TREPANACIÓN,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.02,Z,true,true,2026-04-29 12:54:39
013103,DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR- POR CRANIECTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.03,Z,true,true,2026-04-29 12:54:39
013104,DRENAJE DE ESPACIO SUBDURAL- POR DRENAJE EXTERNO,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.04,Z,true,true,2026-04-29 12:54:39
013105,DRENAJE DE ESPACIO SUBARACNOIDEO- POR DERIVACIÓN CISTO PERITONEAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.05,Z,true,true,2026-04-29 12:54:39
013106,DRENAJE DE ESPACIO SUBDURAL- POR DERIVACIÓN SUBDURO PERITONEAL,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.06,Z,true,true,2026-04-29 12:54:39
013107,INCISIÓN DE MENINGES CEREBRALES,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.07,Z,true,true,2026-04-29 12:54:39
013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,INCISIONES DE MENINGES CEREBRALES,01.3.1.10,Z,true,true,2026-04-29 12:54:39
013201,SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACIÓN POR ESTEREOTAXIA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.01,Z,true,true,2026-04-29 12:54:39
013202,SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES)- POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.02,Z,true,true,2026-04-29 12:54:39
013204,SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VÍA ENDOSCÓPICA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.04,Z,true,true,2026-04-29 12:54:39
013205,SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.05,Z,true,true,2026-04-29 12:54:39
013206,SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.06,Z,true,true,2026-04-29 12:54:39
013207,SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.07,Z,true,true,2026-04-29 12:54:39
013208,SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.08,Z,true,true,2026-04-29 12:54:39
013209,SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.09,Z,true,true,2026-04-29 12:54:39
013210,SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) VÍA ENDOSCÓPICA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.10,Z,true,true,2026-04-29 12:54:39
013211,AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.11,Z,true,true,2026-04-29 12:54:39
013212,AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) CON ABLACIÓN,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.12,Z,true,true,2026-04-29 12:54:39
013213,AMIGDALOHIPOCAMPECTOMÍA SUPRASELECTIVA (TRACTO CEREBRAL) VÍA ENDOSCÓPICA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.13,Z,true,true,2026-04-29 12:54:39
013214,TRACTOTOMÍA LOBAR POR CRANEOTOMÍA,CUPS,CapItulo 01 SISTEMA NERVIOSO,"PROCEDIMIENTOS EN CRÁNEO, CEREBRO Y MENINGES CEREBRALES",INCISIÓN DE CEREBRO Y MENINGES CEREBRALES,LOBOTOMÍA O TRACTOTOMÍA O LESIÓN DESCONECTIVA (PARA CIRUGÍA FUNCIONAL),01.3.2.14,Z,true,true,2026-04-29 12:54:39
